Centre ID,Name,Unit Number,Unit Type,No of Units,Interior,Exterior,Availability,Cost,ZOPA Limit,Floor,Description,Record Type ID,Is Inventory,App Access,Printing Credits,Conference Credits,No Of hours,One Time Setup Cost/Desk,One Time Setup Cost
a030I00000eFMKR,NCR/PT/PS/02/001,1,Private Studio,25,0,1,Available,580500,505500,2,Exterior Private Studio,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFMKR,NCR/PT/PS/02/002,2,Private Studio,18,1,0,Available,417600,363600,2,Interior Private Studio,01228000000uMGu,1,1,720,450,24,3499,62982
a030I00000eFMKR,NCR/PT/PS/02/003,3,Private Studio,17,1,0,Available,394400,343400,2,Interior Private Studio,01228000000uMGu,1,1,680,425,24,3499,59483
a030I00000eFMKR,NCR/PT/PS/02/004,4,Private Studio,16,0,1,Available,371700,323700,2,Exterior Private Studio,01228000000uMGu,1,1,640,400,24,3499,55984
a030I00000eFMKR,NCR/PT/PS/02/005,5,Private Studio,5,0,1,Available,116500,101500,2,Exterior Private Studio,01228000000uMGu,1,1,200,125,24,3499,17495
a030I00000eFMKR,NCR/PT/PS/02/006,6,Private Studio,6,0,1,Available,139700,121700,2,Exterior Private Studio,01228000000uMGu,1,1,240,150,24,3499,20994
a030I00000eFMKR,NCR/PT/PS/02/007,7,Private Studio,6,0,1,Available,139700,121700,2,Exterior Private Studio,01228000000uMGu,1,1,240,150,24,3499,20994
a030I00000eFMKR,NCR/PT/PS/02/008,8,Private Studio,43,0,1,Available,998100,869100,2,Exterior Private Studio,01228000000uMGu,1,1,1720,1075,24,3499,150457
a030I00000eFMKR,NCR/PT/PS/02/009,9,Private Studio,12,1,0,Available,278400,242400,2,Interior Private Studio,01228000000uMGu,1,1,480,300,24,3499,41988
a030I00000eFMKR,NCR/PT/PS/02/010,10,Private Studio,12,1,0,Available,278400,242400,2,Interior Private Studio,01228000000uMGu,1,1,480,300,24,3499,41988
a030I00000eFMKR,NCR/PT/PS/02/011,11,Private Studio,2,1,0,Available,46400,40400,2,Interior Private Studio,01228000000uMGu,1,1,80,50,24,3499,6998
a030I00000eFMKR,NCR/PT/PS/02/012,12,Private Studio,1,1,0,Available,23200,20200,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,3499
a030I00000eFMKR,NCR/PT/PS/02/013,13,Private Studio,4,1,0,Available,92800,80800,2,Interior Private Studio,01228000000uMGu,1,1,160,100,24,3499,13996
a030I00000eFMKR,NCR/PT/PS/02/014,14,Private Studio,4,1,0,Available,92800,80800,2,Interior Private Studio,01228000000uMGu,1,1,160,100,24,3499,13996
a030I00000eFMKR,NCR/PT/PS/02/015,15,Private Studio,11,1,0,Available,255200,222200,2,Interior Private Studio,01228000000uMGu,1,1,440,275,24,3499,38489
a030I00000eFMKR,NCR/PT/PS/02/016,16,Private Studio,12,1,0,Available,278400,242400,2,Interior Private Studio,01228000000uMGu,1,1,480,300,24,3499,41988
a030I00000eFMKR,NCR/PT/PS/02/017,17,Private Studio,15,0,1,Available,348500,303500,2,Exterior Private Studio,01228000000uMGu,1,1,600,375,24,3499,52485
a030I00000eFMKR,NCR/PT/CL/02/001,1,Community Lounge,5,1,0,Available,65000,50000,2,Interior Community Lounge,01228000000uMGu,1,1,150,100,24,3499,17495